Month,Count,Direction,CLPR,Visa,Citizenship
2003-02-01,771,Arrivals,India,TOTAL,Non-New Zealand
2003-02-01,0,Arrivals,India,Visitor,Non-New Zealand
2003-02-01,0,Arrivals,India,Work,Non-New Zealand
2003-03-01,0,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2003-03-01,578,Arrivals,India,Other,Non-New Zealand
2003-03-01,0,Arrivals,India,Residence,Non-New Zealand
2003-03-01,0,Arrivals,India,Student,Non-New Zealand
2003-03-01,578,Arrivals,India,TOTAL,Non-New Zealand
2003-03-01,0,Arrivals,India,Visitor,Non-New Zealand
2003-03-01,0,Arrivals,India,Work,Non-New Zealand
2003-04-01,0,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2003-04-01,475,Arrivals,India,Other,Non-New Zealand
2003-04-01,0,Arrivals,India,Residence,Non-New Zealand
2003-04-01,0,Arrivals,India,Student,Non-New Zealand
2003-04-01,475,Arrivals,India,TOTAL,Non-New Zealand
2003-04-01,0,Arrivals,India,Visitor,Non-New Zealand
2003-04-01,0,Arrivals,India,Work,Non-New Zealand
2003-05-01,0,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2003-05-01,541,Arrivals,India,Other,Non-New Zealand
2003-05-01,0,Arrivals,India,Residence,Non-New Zealand
2003-05-01,0,Arrivals,India,Student,Non-New Zealand
2003-05-01,541,Arrivals,India,TOTAL,Non-New Zealand
2003-05-01,0,Arrivals,India,Visitor,Non-New Zealand
2003-05-01,0,Arrivals,India,Work,Non-New Zealand
2003-06-01,0,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2003-06-01,548,Arrivals,India,Other,Non-New Zealand
2003-06-01,0,Arrivals,India,Residence,Non-New Zealand
2003-06-01,0,Arrivals,India,Student,Non-New Zealand
2003-06-01,548,Arrivals,India,TOTAL,Non-New Zealand
2003-06-01,0,Arrivals,India,Visitor,Non-New Zealand
2003-06-01,0,Arrivals,India,Work,Non-New Zealand
2003-07-01,0,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2003-07-01,2,Arrivals,India,Other,Non-New Zealand
2003-07-01,284,Arrivals,India,Residence,Non-New Zealand
2003-07-01,248,Arrivals,India,Student,Non-New Zealand
2003-07-01,720,Arrivals,India,TOTAL,Non-New Zealand
2003-07-01,150,Arrivals,India,Visitor,Non-New Zealand
2003-07-01,36,Arrivals,India,Work,Non-New Zealand
2003-08-01,2,Arrivals,India,New Zealand and Australian citizens,Non-New Zealand
2003-08-01,0,Arrivals,India,Other,Non-New Zealand
2003-08-01,303,Arrivals,India,Residence,Non-New Zealand
2003-08-01,31,Arrivals,India,Student,Non-New Zealand
2003-08-01,472,Arrivals,India,TOTAL,Non-New Zealand
