Month,Count,Direction,CLPR,Visa,Citizenship
2002-11-01,0,Arrivals,Philippines,Student,Non-New Zealand
2002-11-01,168,Arrivals,Philippines,TOTAL,Non-New Zealand
2002-11-01,0,Arrivals,Philippines,Visitor,Non-New Zealand
2002-11-01,0,Arrivals,Philippines,Work,Non-New Zealand
2002-12-01,1,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2002-12-01,124,Arrivals,Philippines,Other,Non-New Zealand
2002-12-01,0,Arrivals,Philippines,Residence,Non-New Zealand
2002-12-01,0,Arrivals,Philippines,Student,Non-New Zealand
2002-12-01,125,Arrivals,Philippines,TOTAL,Non-New Zealand
2002-12-01,0,Arrivals,Philippines,Visitor,Non-New Zealand
2002-12-01,0,Arrivals,Philippines,Work,Non-New Zealand
2003-01-01,0,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2003-01-01,124,Arrivals,Philippines,Other,Non-New Zealand
2003-01-01,0,Arrivals,Philippines,Residence,Non-New Zealand
2003-01-01,0,Arrivals,Philippines,Student,Non-New Zealand
2003-01-01,124,Arrivals,Philippines,TOTAL,Non-New Zealand
2003-01-01,0,Arrivals,Philippines,Visitor,Non-New Zealand
2003-01-01,0,Arrivals,Philippines,Work,Non-New Zealand
2003-02-01,1,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2003-02-01,121,Arrivals,Philippines,Other,Non-New Zealand
2003-02-01,0,Arrivals,Philippines,Residence,Non-New Zealand
2003-02-01,0,Arrivals,Philippines,Student,Non-New Zealand
2003-02-01,122,Arrivals,Philippines,TOTAL,Non-New Zealand
2003-02-01,0,Arrivals,Philippines,Visitor,Non-New Zealand
2003-02-01,0,Arrivals,Philippines,Work,Non-New Zealand
2003-03-01,2,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2003-03-01,139,Arrivals,Philippines,Other,Non-New Zealand
2003-03-01,0,Arrivals,Philippines,Residence,Non-New Zealand
2003-03-01,0,Arrivals,Philippines,Student,Non-New Zealand
2003-03-01,141,Arrivals,Philippines,TOTAL,Non-New Zealand
2003-03-01,0,Arrivals,Philippines,Visitor,Non-New Zealand
2003-03-01,0,Arrivals,Philippines,Work,Non-New Zealand
2003-04-01,0,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2003-04-01,131,Arrivals,Philippines,Other,Non-New Zealand
2003-04-01,0,Arrivals,Philippines,Residence,Non-New Zealand
2003-04-01,0,Arrivals,Philippines,Student,Non-New Zealand
2003-04-01,131,Arrivals,Philippines,TOTAL,Non-New Zealand
2003-04-01,0,Arrivals,Philippines,Visitor,Non-New Zealand
2003-04-01,0,Arrivals,Philippines,Work,Non-New Zealand
2003-05-01,0,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2003-05-01,138,Arrivals,Philippines,Other,Non-New Zealand
2003-05-01,0,Arrivals,Philippines,Residence,Non-New Zealand
2003-05-01,0,Arrivals,Philippines,Student,Non-New Zealand
2003-05-01,138,Arrivals,Philippines,TOTAL,Non-New Zealand
2003-05-01,0,Arrivals,Philippines,Visitor,Non-New Zealand
2003-05-01,0,Arrivals,Philippines,Work,Non-New Zealand
2003-06-01,0,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2003-06-01,103,Arrivals,Philippines,Other,Non-New Zealand
2003-06-01,0,Arrivals,Philippines,Residence,Non-New Zealand
2003-06-01,0,Arrivals,Philippines,Student,Non-New Zealand
2003-06-01,103,Arrivals,Philippines,TOTAL,Non-New Zealand
2003-06-01,0,Arrivals,Philippines,Visitor,Non-New Zealand
2003-06-01,0,Arrivals,Philippines,Work,Non-New Zealand
2003-07-01,0,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2003-07-01,1,Arrivals,Philippines,Other,Non-New Zealand
2003-07-01,60,Arrivals,Philippines,Residence,Non-New Zealand
2003-07-01,7,Arrivals,Philippines,Student,Non-New Zealand
2003-07-01,105,Arrivals,Philippines,TOTAL,Non-New Zealand
2003-07-01,36,Arrivals,Philippines,Visitor,Non-New Zealand
2003-07-01,1,Arrivals,Philippines,Work,Non-New Zealand
2003-08-01,0,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2003-08-01,0,Arrivals,Philippines,Other,Non-New Zealand
2003-08-01,32,Arrivals,Philippines,Residence,Non-New Zealand
2003-08-01,7,Arrivals,Philippines,Student,Non-New Zealand
2003-08-01,80,Arrivals,Philippines,TOTAL,Non-New Zealand
2003-08-01,39,Arrivals,Philippines,Visitor,Non-New Zealand
2003-08-01,2,Arrivals,Philippines,Work,Non-New Zealand
2003-09-01,0,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2003-09-01,3,Arrivals,Philippines,Other,Non-New Zealand
2003-09-01,35,Arrivals,Philippines,Residence,Non-New Zealand
2003-09-01,2,Arrivals,Philippines,Student,Non-New Zealand
2003-09-01,69,Arrivals,Philippines,TOTAL,Non-New Zealand
2003-09-01,27,Arrivals,Philippines,Visitor,Non-New Zealand
2003-09-01,2,Arrivals,Philippines,Work,Non-New Zealand
2003-10-01,0,Arrivals,Philippines,New Zealand and Australian citizens,Non-New Zealand
2003-10-01,0,Arrivals,Philippines,Other,Non-New Zealand
2003-10-01,48,Arrivals,Philippines,Residence,Non-New Zealand
2003-10-01,3,Arrivals,Philippines,Student,Non-New Zealand
2003-10-01,95,Arrivals,Philippines,TOTAL,Non-New Zealand
2003-10-01,43,Arrivals,Philippines,Visitor,Non-New Zealand
