"Date","Decision Type","Application Substream","Count"
2016-03-31,"Declined","Section 61",0
2016-03-31,"Declined","Skilled Work",411
2016-03-31,"Declined","Work -RSE",12
2016-03-31,"Declined","Work to Residence",21
2016-03-31,"Declined","Working Holiday",198
2016-04-30,"Approved","Approved In Principle",144
2016-04-30,"Approved","Crew",393
2016-04-30,"Approved","Humanitarian",66
2016-04-30,"Approved","Job Search",2355
2016-04-30,"Approved","LTBV/Investor",48
2016-04-30,"Approved","Other",3165
2016-04-30,"Approved","Relationship",3396
2016-04-30,"Approved","Section 61",150
2016-04-30,"Approved","Skilled Migrant",15
2016-04-30,"Approved","Skilled Work",3249
2016-04-30,"Approved","Work -RSE",606
2016-04-30,"Approved","Work to Residence",246
2016-04-30,"Approved","Working Holiday",4407
2016-04-30,"Declined","Approved In Principle",24
2016-04-30,"Declined","Crew",3
2016-04-30,"Declined","Humanitarian",15
2016-04-30,"Declined","Job Search",30
2016-04-30,"Declined","LTBV/Investor",81
2016-04-30,"Declined","Other",93
2016-04-30,"Declined","Relationship",192
2016-04-30,"Declined","Section 61",0
2016-04-30,"Declined","Skilled Work",378
2016-04-30,"Declined","Work -RSE",9
2016-04-30,"Declined","Work to Residence",42
2016-04-30,"Declined","Working Holiday",180
2016-05-31,"Approved","Approved In Principle",156
2016-05-31,"Approved","Crew",123
2016-05-31,"Approved","Humanitarian",60
2016-05-31,"Approved","Job Search",1338
2016-05-31,"Approved","LTBV/Investor",30
2016-05-31,"Approved","Other",3507
2016-05-31,"Approved","Relationship",3255
2016-05-31,"Approved","Section 61",237
2016-05-31,"Approved","Skilled Migrant",6
2016-05-31,"Approved","Skilled Work",3621
2016-05-31,"Approved","Work -RSE",267
2016-05-31,"Approved","Work to Residence",306
2016-05-31,"Approved","Working Holiday",5721
2016-05-31,"Declined","Approved In Principle",18
2016-05-31,"Declined","Crew",3
2016-05-31,"Declined","Humanitarian",18
2016-05-31,"Declined","Job Search",18
2016-05-31,"Declined","LTBV/Investor",33
2016-05-31,"Declined","Other",147
2016-05-31,"Declined","Relationship",219
2016-05-31,"Declined","Section 61",3
2016-05-31,"Declined","Skilled Work",402
2016-05-31,"Declined","Work -RSE",3
2016-05-31,"Declined","Work to Residence",33
2016-05-31,"Declined","Working Holiday",444
2016-06-30,"Approved","Approved In Principle",141
2016-06-30,"Approved","Crew",15
2016-06-30,"Approved","Humanitarian",63
2016-06-30,"Approved","Job Search",1188
2016-06-30,"Approved","LTBV/Investor",27
2016-06-30,"Approved","Other",3210
2016-06-30,"Approved","Relationship",3063
2016-06-30,"Approved","Section 61",219
2016-06-30,"Approved","Skilled Migrant",18
2016-06-30,"Approved","Skilled Work",3327
2016-06-30,"Approved","Work -RSE",96
2016-06-30,"Approved","Work to Residence",267
2016-06-30,"Approved","Working Holiday",6582
2016-06-30,"Declined","Approved In Principle",30
2016-06-30,"Declined","Crew",0
2016-06-30,"Declined","Humanitarian",12
2016-06-30,"Declined","Job Search",27
2016-06-30,"Declined","LTBV/Investor",27
2016-06-30,"Declined","Other",129
2016-06-30,"Declined","Relationship",231
2016-06-30,"Declined","Section 61",0
2016-06-30,"Declined","Skilled Work",396
2016-06-30,"Declined","Work -RSE",3
2016-06-30,"Declined","Work to Residence",24
2016-06-30,"Declined","Working Holiday",303
2016-07-31,"Approved","Approved In Principle",105
2016-07-31,"Approved","Crew",30
2016-07-31,"Approved","Humanitarian",66
2016-07-31,"Approved","Job Search",1800
2016-07-31,"Approved","LTBV/Investor",24
2016-07-31,"Approved","Other",3060
2016-07-31,"Approved","Relationship",3003
2016-07-31,"Approved","Section 61",171
2016-07-31,"Approved","Skilled Migrant",12
2016-07-31,"Approved","Skilled Work",3060
2016-07-31,"Approved","Work -RSE",57
2016-07-31,"Approved","Work to Residence",285
2016-07-31,"Approved","Working Holiday",6216
2016-07-31,"Declined","Approved In Principle",15
2016-07-31,"Declined","Crew",3
2016-07-31,"Declined","Humanitarian",21
2016-07-31,"Declined","Job Search",18
2016-07-31,"Declined","LTBV/Investor",36
2016-07-31,"Declined","Other",123
2016-07-31,"Declined","Relationship",189
2016-07-31,"Declined","Skilled Work",375
2016-07-31,"Declined","Work -RSE",3
2016-07-31,"Declined","Work to Residence",21
2016-07-31,"Declined","Working Holiday",261
2016-08-31,"Approved","Approved In Principle",117
2016-08-31,"Approved","Crew",18
2016-08-31,"Approved","Humanitarian",72
2016-08-31,"Approved","Job Search",2565
2016-08-31,"Approved","LTBV/Investor",30
2016-08-31,"Approved","Other",3213
2016-08-31,"Approved","Relationship",3390
2016-08-31,"Approved","Section 61",204
2016-08-31,"Approved","Skilled Migrant",12
2016-08-31,"Approved","Skilled Work",3477
2016-08-31,"Approved","Work -RSE",213
2016-08-31,"Approved","Work to Residence",315
2016-08-31,"Approved","Working Holiday",7284
2016-08-31,"Declined","Approved In Principle",30
2016-08-31,"Declined","Crew",3
2016-08-31,"Declined","Humanitarian",18
2016-08-31,"Declined","Job Search",42
2016-08-31,"Declined","LTBV/Investor",18
2016-08-31,"Declined","Other",144
2016-08-31,"Declined","Relationship",222
2016-08-31,"Declined","Section 61",0
2016-08-31,"Declined","Skilled Work",456
2016-08-31,"Declined","Work to Residence",21
2016-08-31,"Declined","Working Holiday",318
2016-09-30,"Approved","Approved In Principle",102
2016-09-30,"Approved","Crew",288
2016-09-30,"Approved","Humanitarian",84
2016-09-30,"Approved","Job Search",1839
2016-09-30,"Approved","LTBV/Investor",30
2016-09-30,"Approved","Other",3330
2016-09-30,"Approved","Relationship",3408
2016-09-30,"Approved","Section 61",195
2016-09-30,"Approved","Skilled Migrant",12
2016-09-30,"Approved","Skilled Work",3171
2016-09-30,"Approved","Work -RSE",753
2016-09-30,"Approved","Work to Residence",336
2016-09-30,"Approved","Working Holiday",7761
2016-09-30,"Declined","Approved In Principle",18
2016-09-30,"Declined","Crew",0
2016-09-30,"Declined","Humanitarian",33
2016-09-30,"Declined","Job Search",33
2016-09-30,"Declined","LTBV/Investor",21
2016-09-30,"Declined","Other",177
2016-09-30,"Declined","Relationship",225
2016-09-30,"Declined","Section 61",0
2016-09-30,"Declined","Skilled Work",480
2016-09-30,"Declined","Work -RSE",3
2016-09-30,"Declined","Work to Residence",27
2016-09-30,"Declined","Working Holiday",300
2016-10-31,"Approved","Approved In Principle",159
2016-10-31,"Approved","Crew",213
2016-10-31,"Approved","Humanitarian",72
2016-10-31,"Approved","Job Search",1401
2016-10-31,"Approved","LTBV/Investor",42
2016-10-31,"Approved","Other",2832
2016-10-31,"Approved","Relationship",2745
2016-10-31,"Approved","Section 61",159
2016-10-31,"Approved","Skilled Migrant",12
2016-10-31,"Approved","Skilled Work",2970
2016-10-31,"Approved","Work -RSE",1950
2016-10-31,"Approved","Work to Residence",267
2016-10-31,"Approved","Working Holiday",7236
2016-10-31,"Declined","Approved In Principle",33
2016-10-31,"Declined","Crew",0
2016-10-31,"Declined","Humanitarian",36
2016-10-31,"Declined","Job Search",27
2016-10-31,"Declined","LTBV/Investor",57
2016-10-31,"Declined","Other",168
2016-10-31,"Declined","Relationship",189
2016-10-31,"Declined","Section 61",3
2016-10-31,"Declined","Skilled Migrant",0
2016-10-31,"Declined","Skilled Work",429
2016-10-31,"Declined","Work -RSE",15
2016-10-31,"Declined","Work to Residence",24
2016-10-31,"Declined","Working Holiday",300
2016-11-30,"Approved","Approved In Principle",255
2016-11-30,"Approved","Crew",15
2016-11-30,"Approved","Humanitarian",66
2016-11-30,"Approved","Job Search",1290
2016-11-30,"Approved","LTBV/Investor",30
2016-11-30,"Approved","Other",3024
2016-11-30,"Approved","Relationship",3105
2016-11-30,"Approved","Section 61",204
2016-11-30,"Approved","Skilled Migrant",18
2016-11-30,"Approved","Skilled Work",3066
2016-11-30,"Approved","Work -RSE",1725
2016-11-30,"Approved","Work to Residence",345
2016-11-30,"Approved","Working Holiday",5958
2016-11-30,"Declined","Approved In Principle",33
2016-11-30,"Declined","Humanitarian",24
2016-11-30,"Declined","Job Search",42
2016-11-30,"Declined","LTBV/Investor",33
2016-11-30,"Declined","Other",186
2016-11-30,"Declined","Relationship",234
2016-11-30,"Declined","Section 61",3
2016-11-30,"Declined","Skilled Work",501
2016-11-30,"Declined","Work -RSE",33
2016-11-30,"Declined","Work to Residence",60
2016-11-30,"Declined","Working Holiday",273
2016-12-31,"Approved","Approved In Principle",201
2016-12-31,"Approved","Crew",9
2016-12-31,"Approved","Humanitarian",51
2016-12-31,"Approved","Job Search",681
2016-12-31,"Approved","LTBV/Investor",18
2016-12-31,"Approved","Other",2469
2016-12-31,"Approved","Relationship",2445
2016-12-31,"Approved","Section 61",165
2016-12-31,"Approved","Skilled Migrant",18
2016-12-31,"Approved","Skilled Work",2601
2016-12-31,"Approved","Work -RSE",519
2016-12-31,"Approved","Work to Residence",336
2016-12-31,"Approved","Working Holiday",3588
2016-12-31,"Declined","Approved In Principle",24
2016-12-31,"Declined","Humanitarian",21
2016-12-31,"Declined","Job Search",18
2016-12-31,"Declined","LTBV/Investor",9
2016-12-31,"Declined","Other",132
2016-12-31,"Declined","Relationship",183
2016-12-31,"Declined","Skilled Work",393
2016-12-31,"Declined","Work -RSE",9
2016-12-31,"Declined","Work to Residence",36
2016-12-31,"Declined","Working Holiday",162
2017-01-31,"Approved","Approved In Principle",219
2017-01-31,"Approved","Crew",9
2017-01-31,"Approved","Humanitarian",87
2017-01-31,"Approved","Job Search",996
2017-01-31,"Approved","LTBV/Investor",21
2017-01-31,"Approved","Other",2898
2017-01-31,"Approved","Relationship",2802
2017-01-31,"Approved","Section 61",162
2017-01-31,"Approved","Skilled Migrant",18
2017-01-31,"Approved","Skilled Work",3108
2017-01-31,"Approved","Work -RSE",633
2017-01-31,"Approved","Work to Residence",357
2017-01-31,"Approved","Working Holiday",5592
2017-01-31,"Declined","Approved In Principle",15
2017-01-31,"Declined","Humanitarian",15
2017-01-31,"Declined","Job Search",36
2017-01-31,"Declined","LTBV/Investor",24
2017-01-31,"Declined","Other",141
2017-01-31,"Declined","Relationship",258
2017-01-31,"Declined","Section 61",6
2017-01-31,"Declined","Skilled Work",408
2017-01-31,"Declined","Work -RSE",9
2017-01-31,"Declined","Work to Residence",30
2017-01-31,"Declined","Working Holiday",222
2017-02-28,"Approved","Approved In Principle",231
2017-02-28,"Approved","Crew",24
2017-02-28,"Approved","Humanitarian",57
2017-02-28,"Approved","Job Search",1515
2017-02-28,"Approved","LTBV/Investor",21
2017-02-28,"Approved","Other",2967
2017-02-28,"Approved","Relationship",2631
2017-02-28,"Approved","Section 61",156
2017-02-28,"Approved","Skilled Migrant",33
2017-02-28,"Approved","Skilled Work",2991
2017-02-28,"Approved","Work -RSE",2601
2017-02-28,"Approved","Work to Residence",330
2017-02-28,"Approved","Working Holiday",4971
2017-02-28,"Declined","Approved In Principle",18
2017-02-28,"Declined","Crew",0
2017-02-28,"Declined","Humanitarian",21
2017-02-28,"Declined","Job Search",45
2017-02-28,"Declined","LTBV/Investor",18
2017-02-28,"Declined","Other",192
2017-02-28,"Declined","Relationship",213
2017-02-28,"Declined","Skilled Migrant",0
2017-02-28,"Declined","Skilled Work",468
2017-02-28,"Declined","Work -RSE",12
2017-02-28,"Declined","Work to Residence",33
2017-02-28,"Declined","Working Holiday",198
2017-03-31,"Approved","Approved In Principle",141
2017-03-31,"Approved","Crew",420
2017-03-31,"Approved","Humanitarian",105
2017-03-31,"Approved","Job Search",4008
2017-03-31,"Approved","LTBV/Investor",15
2017-03-31,"Approved","Other",3789
2017-03-31,"Approved","Relationship",3780
2017-03-31,"Approved","Section 61",153
2017-03-31,"Approved","Skilled Migrant",21
2017-03-31,"Approved","Skilled Work",3681
2017-03-31,"Approved","Work -RSE",1701
2017-03-31,"Approved","Work to Residence",429
2017-03-31,"Approved","Working Holiday",5217
2017-03-31,"Declined","Approved In Principle",27
2017-03-31,"Declined","Crew",3
2017-03-31,"Declined","Humanitarian",30
2017-03-31,"Declined","Job Search",60
2017-03-31,"Declined","LTBV/Investor",48
2017-03-31,"Declined","Other",288
2017-03-31,"Declined","Relationship",303
2017-03-31,"Declined","Section 61",6
2017-03-31,"Declined","Skilled Work",567
2017-03-31,"Declined","Work -RSE",15
2017-03-31,"Declined","Work to Residence",42
2017-03-31,"Declined","Working Holiday",228
