"Date","Decision Type","Application Substream","Count"
2020-02-29,"Approved","Skilled Migrant",15
2020-02-29,"Approved","Skilled Work",3999
2020-02-29,"Approved","Work -RSE",2553
2020-02-29,"Approved","Work to Residence",561
2020-02-29,"Approved","Working Holiday",3651
2020-02-29,"Declined","Approved In Principle",6
2020-02-29,"Declined","Humanitarian",51
2020-02-29,"Declined","Job Search",27
2020-02-29,"Declined","LTBV/Investor",3
2020-02-29,"Declined","Other",123
2020-02-29,"Declined","Relationship",156
2020-02-29,"Declined","Skilled Work",363
2020-02-29,"Declined","Work -RSE",21
2020-02-29,"Declined","Work to Residence",75
2020-02-29,"Declined","Working Holiday",159
2020-03-31,"Approved","Approved In Principle",63
2020-03-31,"Approved","Crew",222
2020-03-31,"Approved","Humanitarian",96
2020-03-31,"Approved","IPT Order",9
2020-03-31,"Approved","Job Search",1545
2020-03-31,"Approved","LTBV/Investor",6
2020-03-31,"Approved","Other",1713
2020-03-31,"Approved","Relationship",2550
2020-03-31,"Approved","Section 61",102
2020-03-31,"Approved","Skilled Migrant",6
2020-03-31,"Approved","Skilled Work",3093
2020-03-31,"Approved","Work -RSE",1875
2020-03-31,"Approved","Work to Residence",378
2020-03-31,"Approved","Working Holiday",3555
2020-03-31,"Declined","Approved In Principle",3
2020-03-31,"Declined","Crew",0
2020-03-31,"Declined","Humanitarian",45
2020-03-31,"Declined","Job Search",18
2020-03-31,"Declined","LTBV/Investor",3
2020-03-31,"Declined","Other",123
2020-03-31,"Declined","Relationship",141
2020-03-31,"Declined","Skilled Work",282
2020-03-31,"Declined","Work -RSE",15
2020-03-31,"Declined","Work to Residence",63
2020-03-31,"Declined","Working Holiday",135
2020-04-30,"Approved","Humanitarian",24
2020-04-30,"Approved","Job Search",774
2020-04-30,"Approved","Other",807
2020-04-30,"Approved","Relationship",882
2020-04-30,"Approved","Section 61",48
2020-04-30,"Approved","Skilled Work",357
2020-04-30,"Approved","Work to Residence",27
2020-04-30,"Approved","Working Holiday",0
2020-04-30,"Declined","Humanitarian",3
2020-04-30,"Declined","Job Search",0
2020-04-30,"Declined","Other",6
2020-04-30,"Declined","Relationship",6
2020-04-30,"Declined","Skilled Work",3
2020-04-30,"Declined","Work to Residence",0
2020-04-30,"Declined","Working Holiday",6
2020-05-31,"Approved","Approved In Principle",15
2020-05-31,"Approved","Crew",9
2020-05-31,"Approved","Humanitarian",21
2020-05-31,"Approved","IPT Order",0
2020-05-31,"Approved","Job Search",429
2020-05-31,"Approved","LTBV/Investor",6
2020-05-31,"Approved","Other",1383
2020-05-31,"Approved","Relationship",1512
2020-05-31,"Approved","Section 61",39
2020-05-31,"Approved","Skilled Migrant",0
2020-05-31,"Approved","Skilled Work",747
2020-05-31,"Approved","Work -RSE",1458
2020-05-31,"Approved","Work to Residence",150
2020-05-31,"Approved","Working Holiday",177
2020-05-31,"Declined","Approved In Principle",3
2020-05-31,"Declined","Humanitarian",3
2020-05-31,"Declined","Job Search",0
2020-05-31,"Declined","Other",72
2020-05-31,"Declined","Relationship",24
2020-05-31,"Declined","Skilled Work",51
2020-05-31,"Declined","Work -RSE",0
2020-05-31,"Declined","Work to Residence",9
2020-05-31,"Declined","Working Holiday",9
2020-06-30,"Approved","Approved In Principle",12
2020-06-30,"Approved","Crew",30
2020-06-30,"Approved","Humanitarian",105
2020-06-30,"Approved","IPT Order",3
2020-06-30,"Approved","Job Search",345
2020-06-30,"Approved","LTBV/Investor",3
2020-06-30,"Approved","Other",1902
2020-06-30,"Approved","Relationship",2532
2020-06-30,"Approved","Section 61",39
2020-06-30,"Approved","Skilled Work",2142
2020-06-30,"Approved","Work -RSE",2280
2020-06-30,"Approved","Work to Residence",336
2020-06-30,"Approved","Working Holiday",165
2020-06-30,"Declined","Approved In Principle",0
2020-06-30,"Declined","Humanitarian",39
2020-06-30,"Declined","Job Search",3
2020-06-30,"Declined","Other",159
2020-06-30,"Declined","Relationship",69
2020-06-30,"Declined","Skilled Work",189
2020-06-30,"Declined","Work -RSE",519
2020-06-30,"Declined","Work to Residence",36
2020-06-30,"Declined","Working Holiday",21
2020-07-31,"Approved","Approved In Principle",6
2020-07-31,"Approved","Crew",39
2020-07-31,"Approved","Humanitarian",114
2020-07-31,"Approved","IPT Order",12
2020-07-31,"Approved","Job Search",1203
2020-07-31,"Approved","LTBV/Investor",3
2020-07-31,"Approved","Other",1101
2020-07-31,"Approved","Relationship",3786
2020-07-31,"Approved","Section 61",48
2020-07-31,"Approved","Skilled Work",4542
2020-07-31,"Approved","Work -RSE",855
2020-07-31,"Approved","Work to Residence",432
2020-07-31,"Approved","Working Holiday",147
2020-07-31,"Declined","Approved In Principle",6
2020-07-31,"Declined","Humanitarian",33
2020-07-31,"Declined","Job Search",30
2020-07-31,"Declined","LTBV/Investor",3
2020-07-31,"Declined","Other",117
2020-07-31,"Declined","Relationship",156
2020-07-31,"Declined","Skilled Work",609
2020-07-31,"Declined","Work -RSE",51
2020-07-31,"Declined","Work to Residence",60
2020-07-31,"Declined","Working Holiday",9
2020-08-31,"Approved","Approved In Principle",12
2020-08-31,"Approved","Crew",21
2020-08-31,"Approved","Humanitarian",102
2020-08-31,"Approved","IPT Order",3
2020-08-31,"Approved","Job Search",2952
2020-08-31,"Approved","LTBV/Investor",3
2020-08-31,"Approved","Other",1803
2020-08-31,"Approved","Relationship",3870
2020-08-31,"Approved","Section 61",48
2020-08-31,"Approved","Skilled Work",3411
2020-08-31,"Approved","Work -RSE",699
2020-08-31,"Approved","Work to Residence",528
2020-08-31,"Approved","Working Holiday",135
2020-08-31,"Declined","Approved In Principle",3
2020-08-31,"Declined","Humanitarian",51
2020-08-31,"Declined","Job Search",30
2020-08-31,"Declined","LTBV/Investor",3
2020-08-31,"Declined","Other",93
2020-08-31,"Declined","Relationship",132
2020-08-31,"Declined","Skilled Work",363
2020-08-31,"Declined","Work -RSE",33
2020-08-31,"Declined","Work to Residence",66
2020-08-31,"Declined","Working Holiday",12
2020-09-30,"Approved","Approved In Principle",3
2020-09-30,"Approved","Crew",144
2020-09-30,"Approved","Humanitarian",168
2020-09-30,"Approved","IPT Order",6
2020-09-30,"Approved","Job Search",1167
2020-09-30,"Approved","LTBV/Investor",3
2020-09-30,"Approved","Other",3720
2020-09-30,"Approved","Relationship",2478
2020-09-30,"Approved","Section 61",90
2020-09-30,"Approved","Skilled Work",3558
2020-09-30,"Approved","Work -RSE",1383
2020-09-30,"Approved","Work to Residence",486
2020-09-30,"Approved","Working Holiday",1038
2020-09-30,"Declined","Approved In Principle",0
2020-09-30,"Declined","Humanitarian",75
2020-09-30,"Declined","Job Search",33
2020-09-30,"Declined","LTBV/Investor",3
2020-09-30,"Declined","Other",189
2020-09-30,"Declined","Relationship",144
2020-09-30,"Declined","Section 61",0
2020-09-30,"Declined","Skilled Work",273
2020-09-30,"Declined","Work -RSE",33
2020-09-30,"Declined","Work to Residence",51
2020-09-30,"Declined","Working Holiday",42
2020-10-31,"Approved","Approved In Principle",3
2020-10-31,"Approved","Crew",267
2020-10-31,"Approved","Humanitarian",114
2020-10-31,"Approved","IPT Order",3
2020-10-31,"Approved","Job Search",729
2020-10-31,"Approved","LTBV/Investor",6
2020-10-31,"Approved","Other",2718
2020-10-31,"Approved","Relationship",1905
2020-10-31,"Approved","Section 61",99
2020-10-31,"Approved","Skilled Work",3303
2020-10-31,"Approved","Work -RSE",2115
2020-10-31,"Approved","Work to Residence",321
2020-10-31,"Approved","Working Holiday",231
2020-10-31,"Declined","Crew",9
2020-10-31,"Declined","Humanitarian",81
2020-10-31,"Declined","Job Search",24
2020-10-31,"Declined","LTBV/Investor",18
2020-10-31,"Declined","Other",123
2020-10-31,"Declined","Relationship",129
2020-10-31,"Declined","Section 61",0
2020-10-31,"Declined","Skilled Work",186
2020-10-31,"Declined","Work -RSE",198
2020-10-31,"Declined","Work to Residence",51
2020-10-31,"Declined","Working Holiday",12
2020-11-30,"Approved","Approved In Principle",0
2020-11-30,"Approved","Crew",15
2020-11-30,"Approved","Humanitarian",99
2020-11-30,"Approved","IPT Order",6
2020-11-30,"Approved","Job Search",735
2020-11-30,"Approved","LTBV/Investor",3
2020-11-30,"Approved","Other",1977
2020-11-30,"Approved","Relationship",2082
2020-11-30,"Approved","Section 61",153
2020-11-30,"Approved","Skilled Work",3339
2020-11-30,"Approved","Work -RSE",3837
2020-11-30,"Approved","Work to Residence",375
2020-11-30,"Approved","Working Holiday",315
2020-11-30,"Declined","Approved In Principle",3
2020-11-30,"Declined","Crew",0
2020-11-30,"Declined","Humanitarian",45
2020-11-30,"Declined","Job Search",6
2020-11-30,"Declined","LTBV/Investor",6
2020-11-30,"Declined","Other",147
2020-11-30,"Declined","Relationship",132
2020-11-30,"Declined","Skilled Work",201
2020-11-30,"Declined","Work -RSE",72
2020-11-30,"Declined","Work to Residence",57
2020-11-30,"Declined","Working Holiday",18
2020-12-31,"Approved","Approved In Principle",24
2020-12-31,"Approved","Crew",9
2020-12-31,"Approved","Humanitarian",81
2020-12-31,"Approved","IPT Order",3
2020-12-31,"Approved","Job Search",687
2020-12-31,"Approved","LTBV/Investor",3
2020-12-31,"Approved","Other",5655
2020-12-31,"Approved","Relationship",2316
2020-12-31,"Approved","Section 61",102
2020-12-31,"Approved","Skilled Work",3072
2020-12-31,"Approved","Work -RSE",3084
2020-12-31,"Approved","Work to Residence",441
2020-12-31,"Approved","Working Holiday",252
2020-12-31,"Declined","Approved In Principle",3
2020-12-31,"Declined","Humanitarian",45
2020-12-31,"Declined","Job Search",6
2020-12-31,"Declined","LTBV/Investor",9
2020-12-31,"Declined","Other",90
2020-12-31,"Declined","Relationship",105
2020-12-31,"Declined","Section 61",3
2020-12-31,"Declined","Skilled Work",177
2020-12-31,"Declined","Work -RSE",48
2020-12-31,"Declined","Work to Residence",42
2020-12-31,"Declined","Working Holiday",33
2021-01-31,"Approved","Approved In Principle",72
2021-01-31,"Approved","Crew",12
2021-01-31,"Approved","Humanitarian",72
2021-01-31,"Approved","IPT Order",0
2021-01-31,"Approved","Job Search",1242
2021-01-31,"Approved","LTBV/Investor",0
2021-01-31,"Approved","Other",1554
2021-01-31,"Approved","Relationship",2556
2021-01-31,"Approved","Section 61",96
2021-01-31,"Approved","Skilled Work",3363
2021-01-31,"Approved","Work -RSE",3045
2021-01-31,"Approved","Work to Residence",432
2021-01-31,"Approved","Working Holiday",123
2021-01-31,"Declined","Approved In Principle",3
2021-01-31,"Declined","Humanitarian",21
2021-01-31,"Declined","Job Search",9
2021-01-31,"Declined","LTBV/Investor",0
2021-01-31,"Declined","Other",105
2021-01-31,"Declined","Relationship",111
2021-01-31,"Declined","Skilled Work",186
2021-01-31,"Declined","Work -RSE",12
2021-01-31,"Declined","Work to Residence",45
2021-01-31,"Declined","Working Holiday",15
2021-02-28,"Approved","Approved In Principle",63
2021-02-28,"Approved","Crew",12
2021-02-28,"Approved","Humanitarian",66
2021-02-28,"Approved","IPT Order",6
2021-02-28,"Approved","Job Search",1659
2021-02-28,"Approved","LTBV/Investor",6
2021-02-28,"Approved","Other",1212
2021-02-28,"Approved","Relationship",2154
2021-02-28,"Approved","Section 61",72
2021-02-28,"Approved","Skilled Work",2568
2021-02-28,"Approved","Work -RSE",3042
2021-02-28,"Approved","Work to Residence",441
2021-02-28,"Approved","Working Holiday",63
2021-02-28,"Declined","Approved In Principle",3
2021-02-28,"Declined","Humanitarian",27
2021-02-28,"Declined","Job Search",6
2021-02-28,"Declined","LTBV/Investor",3
2021-02-28,"Declined","Other",102
2021-02-28,"Declined","Relationship",75
2021-02-28,"Declined","Skilled Work",165
2021-02-28,"Declined","Work -RSE",51
2021-02-28,"Declined","Work to Residence",66
2021-02-28,"Declined","Working Holiday",9
2021-03-31,"Approved","Approved In Principle",21
2021-03-31,"Approved","Crew",3
2021-03-31,"Approved","Humanitarian",126
2021-03-31,"Approved","IPT Order",6
2021-03-31,"Approved","Job Search",2865
2021-03-31,"Approved","LTBV/Investor",0
2021-03-31,"Approved","Other",1395
2021-03-31,"Approved","Relationship",2901
2021-03-31,"Approved","Section 61",78
2021-03-31,"Approved","Skilled Work",3012
2021-03-31,"Approved","Work -RSE",2034
2021-03-31,"Approved","Work to Residence",378
2021-03-31,"Approved","Working Holiday",42
2021-03-31,"Declined","Approved In Principle",0
2021-03-31,"Declined","Humanitarian",54
2021-03-31,"Declined","Job Search",9
2021-03-31,"Declined","LTBV/Investor",3
2021-03-31,"Declined","Other",72
2021-03-31,"Declined","Relationship",96
2021-03-31,"Declined","Skilled Work",165
2021-03-31,"Declined","Work -RSE",18
2021-03-31,"Declined","Work to Residence",69
2021-03-31,"Declined","Working Holiday",6
2021-04-30,"Approved","Approved In Principle",6
2021-04-30,"Approved","Crew",3
2021-04-30,"Approved","Humanitarian",90
2021-04-30,"Approved","IPT Order",3
2021-04-30,"Approved","Job Search",813
2021-04-30,"Approved","LTBV/Investor",0
2021-04-30,"Approved","Other",1164
2021-04-30,"Approved","Relationship",2070
2021-04-30,"Approved","Section 61",54
2021-04-30,"Approved","Skilled Work",2469
2021-04-30,"Approved","Work -RSE",2067
2021-04-30,"Approved","Work to Residence",450
2021-04-30,"Approved","Working Holiday",33
2021-04-30,"Declined","Approved In Principle",0
2021-04-30,"Declined","Humanitarian",63
2021-04-30,"Declined","Job Search",6
2021-04-30,"Declined","LTBV/Investor",3
2021-04-30,"Declined","Other",81
2021-04-30,"Declined","Relationship",78
2021-04-30,"Declined","Skilled Work",138
2021-04-30,"Declined","Work -RSE",9
2021-04-30,"Declined","Work to Residence",45
2021-04-30,"Declined","Working Holiday",3
2021-05-31,"Approved","Approved In Principle",42
2021-05-31,"Approved","Crew",3
2021-05-31,"Approved","Humanitarian",72
2021-05-31,"Approved","IPT Order",9
2021-05-31,"Approved","Job Search",672
2021-05-31,"Approved","LTBV/Investor",3
2021-05-31,"Approved","Other",1311
2021-05-31,"Approved","Relationship",2406
2021-05-31,"Approved","Section 61",78
2021-05-31,"Approved","Skilled Work",3663
2021-05-31,"Approved","Work -RSE",1767
2021-05-31,"Approved","Work to Residence",666
2021-05-31,"Approved","Working Holiday",69
2021-05-31,"Declined","Approved In Principle",0
2021-05-31,"Declined","Humanitarian",27
2021-05-31,"Declined","Job Search",9
2021-05-31,"Declined","LTBV/Investor",3
2021-05-31,"Declined","Other",69
2021-05-31,"Declined","Relationship",75
2021-05-31,"Declined","Section 61",0
2021-05-31,"Declined","Skilled Work",117
2021-05-31,"Declined","Work -RSE",27
2021-05-31,"Declined","Work to Residence",63
2021-05-31,"Declined","Working Holiday",12
2021-06-30,"Approved","Approved In Principle",93
2021-06-30,"Approved","Crew",0
2021-06-30,"Approved","Humanitarian",69
2021-06-30,"Approved","IPT Order",12
2021-06-30,"Approved","Job Search",504
2021-06-30,"Approved","Other",5901
2021-06-30,"Approved","Relationship",2445
2021-06-30,"Approved","Section 61",63
2021-06-30,"Approved","Skilled Work",3498
2021-06-30,"Approved","Work -RSE",1155
2021-06-30,"Approved","Work to Residence",780
2021-06-30,"Approved","Working Holiday",267
2021-06-30,"Declined","Crew",0
2021-06-30,"Declined","Humanitarian",33
2021-06-30,"Declined","Job Search",6
2021-06-30,"Declined","LTBV/Investor",0
2021-06-30,"Declined","Other",105
2021-06-30,"Declined","Relationship",108
2021-06-30,"Declined","Section 61",0
2021-06-30,"Declined","Skilled Work",150
2021-06-30,"Declined","Work -RSE",36
2021-06-30,"Declined","Work to Residence",69
2021-06-30,"Declined","Working Holiday",30
2021-07-31,"Approved","Approved In Principle",18
2021-07-31,"Approved","Crew",0
2021-07-31,"Approved","Humanitarian",108
2021-07-31,"Approved","IPT Order",18
2021-07-31,"Approved","Job Search",753
2021-07-31,"Approved","LTBV/Investor",3
2021-07-31,"Approved","Other",1893
2021-07-31,"Approved","Relationship",2589
2021-07-31,"Approved","Section 61",99
2021-07-31,"Approved","Skilled Work",5034
2021-07-31,"Approved","Work -RSE",1056
2021-07-31,"Approved","Work to Residence",780
2021-07-31,"Approved","Working Holiday",216
2021-07-31,"Declined","Humanitarian",39
2021-07-31,"Declined","Job Search",6
2021-07-31,"Declined","LTBV/Investor",3
2021-07-31,"Declined","Other",108
2021-07-31,"Declined","Relationship",102
2021-07-31,"Declined","Skilled Work",165
2021-07-31,"Declined","Work -RSE",33
2021-07-31,"Declined","Work to Residence",57
2021-07-31,"Declined","Working Holiday",33
2021-08-31,"Approved","Approved In Principle",15
2021-08-31,"Approved","Crew",6
2021-08-31,"Approved","Humanitarian",90
2021-08-31,"Approved","IPT Order",3
2021-08-31,"Approved","Job Search",1425
2021-08-31,"Approved","Other",1167
2021-08-31,"Approved","Relationship",3009
2021-08-31,"Approved","Section 61",69
2021-08-31,"Approved","Skilled Migrant",0
2021-08-31,"Approved","Skilled Work",5505
2021-08-31,"Approved","Work -RSE",720
2021-08-31,"Approved","Work to Residence",1434
2021-08-31,"Approved","Working Holiday",18
2021-08-31,"Declined","Approved In Principle",0
2021-08-31,"Declined","Humanitarian",21
2021-08-31,"Declined","Job Search",15
2021-08-31,"Declined","Other",108
2021-08-31,"Declined","Relationship",75
2021-08-31,"Declined","Section 61",0
2021-08-31,"Declined","Skilled Work",135
2021-08-31,"Declined","Work -RSE",21
2021-08-31,"Declined","Work to Residence",42
2021-08-31,"Declined","Working Holiday",3
2021-09-30,"Approved","Approved In Principle",27
2021-09-30,"Approved","Humanitarian",81
2021-09-30,"Approved","IPT Order",12
2021-09-30,"Approved","Job Search",585
2021-09-30,"Approved","LTBV/Investor",3
2021-09-30,"Approved","Other",1479
2021-09-30,"Approved","Relationship",2784
2021-09-30,"Approved","Section 61",147
2021-09-30,"Approved","Skilled Work",4281
2021-09-30,"Approved","Work -RSE",1290
2021-09-30,"Approved","Work to Residence",1653
2021-09-30,"Approved","Working Holiday",24
2021-09-30,"Declined","Humanitarian",18
2021-09-30,"Declined","Job Search",18
2021-09-30,"Declined","LTBV/Investor",3
2021-09-30,"Declined","Other",195
2021-09-30,"Declined","Relationship",69
2021-09-30,"Declined","Skilled Work",150
2021-09-30,"Declined","Work -RSE",6
2021-09-30,"Declined","Work to Residence",66
2021-10-31,"Approved","Approved In Principle",27
2021-10-31,"Approved","Crew",12
2021-10-31,"Approved","Humanitarian",66
2021-10-31,"Approved","IPT Order",6
2021-10-31,"Approved","Job Search",405
2021-10-31,"Approved","LTBV/Investor",3
2021-10-31,"Approved","Other",1956
2021-10-31,"Approved","Relationship",2364
2021-10-31,"Approved","Section 61",108
2021-10-31,"Approved","Skilled Work",4413
2021-10-31,"Approved","Work -RSE",2676
2021-10-31,"Approved","Work to Residence",1281
2021-10-31,"Approved","Working Holiday",9
2021-10-31,"Declined","Crew",3
2021-10-31,"Declined","Humanitarian",30
2021-10-31,"Declined","Job Search",15
2021-10-31,"Declined","Other",189
2021-10-31,"Declined","Relationship",132
2021-10-31,"Declined","Section 61",0
2021-10-31,"Declined","Skilled Work",150
2021-10-31,"Declined","Work -RSE",45
2021-10-31,"Declined","Work to Residence",81
2021-10-31,"Declined","Working Holiday",3
2021-11-30,"Approved","Approved In Principle",72
2021-11-30,"Approved","Crew",9
2021-11-30,"Approved","Humanitarian",96
2021-11-30,"Approved","IPT Order",6
2021-11-30,"Approved","Job Search",438
2021-11-30,"Approved","Other",1437
2021-11-30,"Approved","Relationship",2742
2021-11-30,"Approved","Section 61",129
2021-11-30,"Approved","Skilled Work",3915
2021-11-30,"Approved","Work -RSE",4035
2021-11-30,"Approved","Work to Residence",999
2021-11-30,"Approved","Working Holiday",27
2021-11-30,"Declined","Approved In Principle",3
2021-11-30,"Declined","Humanitarian",33
2021-11-30,"Declined","Job Search",9
2021-11-30,"Declined","LTBV/Investor",9
2021-11-30,"Declined","Other",204
2021-11-30,"Declined","Relationship",117
2021-11-30,"Declined","Skilled Work",147
2021-11-30,"Declined","Work -RSE",129
2021-11-30,"Declined","Work to Residence",93
2021-11-30,"Declined","Working Holiday",3
2021-12-31,"Approved","Approved In Principle",27
2021-12-31,"Approved","Crew",6
2021-12-31,"Approved","Humanitarian",69
2021-12-31,"Approved","IPT Order",3
2021-12-31,"Approved","Job Search",264
2021-12-31,"Approved","LTBV/Investor",3
2021-12-31,"Approved","Other",1050
2021-12-31,"Approved","Relationship",2304
2021-12-31,"Approved","Section 61",60
2021-12-31,"Approved","Skilled Work",2991
2021-12-31,"Approved","Work -RSE",1950
2021-12-31,"Approved","Work to Residence",567
2021-12-31,"Approved","Working Holiday",18
2021-12-31,"Declined","Approved In Principle",0
2021-12-31,"Declined","Crew",3
2021-12-31,"Declined","Humanitarian",15
2021-12-31,"Declined","Job Search",6
2021-12-31,"Declined","LTBV/Investor",6
2021-12-31,"Declined","Other",108
2021-12-31,"Declined","Relationship",72
2021-12-31,"Declined","Section 61",0
2021-12-31,"Declined","Skilled Work",90
2021-12-31,"Declined","Work -RSE",27
2021-12-31,"Declined","Work to Residence",69
2021-12-31,"Declined","Working Holiday",0
2022-01-31,"Approved","Approved In Principle",45
2022-01-31,"Approved","Crew",9
2022-01-31,"Approved","Humanitarian",57
2022-01-31,"Approved","IPT Order",0
2022-01-31,"Approved","Job Search",855
2022-01-31,"Approved","LTBV/Investor",0
2022-01-31,"Approved","Other",1182
2022-01-31,"Approved","Relationship",1503
2022-01-31,"Approved","Section 61",57
2022-01-31,"Approved","Skilled Work",2124
2022-01-31,"Approved","Work -RSE",2175
2022-01-31,"Approved","Work to Residence",630
2022-01-31,"Approved","Working Holiday",9
2022-01-31,"Declined","Approved In Principle",0
2022-01-31,"Declined","Humanitarian",33
2022-01-31,"Declined","Job Search",12
2022-01-31,"Declined","Other",114
2022-01-31,"Declined","Relationship",60
2022-01-31,"Declined","Section 61",3
2022-01-31,"Declined","Skilled Work",90
2022-01-31,"Declined","Work -RSE",21
2022-01-31,"Declined","Work to Residence",48
2022-01-31,"Declined","Working Holiday",3
2022-02-28,"Approved","Approved In Principle",27
2022-02-28,"Approved","Crew",3
2022-02-28,"Approved","Humanitarian",75
2022-02-28,"Approved","IPT Order",6
2022-02-28,"Approved","Job Search",897
2022-02-28,"Approved","LTBV/Investor",0
2022-02-28,"Approved","Other",1578
2022-02-28,"Approved","Relationship",1788
2022-02-28,"Approved","Section 61",75
2022-02-28,"Approved","Skilled Work",1893
2022-02-28,"Approved","Work -RSE",5280
2022-02-28,"Approved","Work to Residence",948
2022-02-28,"Approved","Working Holiday",12
2022-02-28,"Declined","Crew",0
2022-02-28,"Declined","Humanitarian",27
2022-02-28,"Declined","Job Search",15
2022-02-28,"Declined","LTBV/Investor",6
2022-02-28,"Declined","Other",135
2022-02-28,"Declined","Relationship",78
2022-02-28,"Declined","Skilled Work",84
2022-02-28,"Declined","Work -RSE",63
2022-02-28,"Declined","Work to Residence",69
2022-02-28,"Declined","Working Holiday",6
2022-03-31,"Approved","Approved In Principle",24
2022-03-31,"Approved","Crew",12
2022-03-31,"Approved","Humanitarian",282
2022-03-31,"Approved","IPT Order",12
2022-03-31,"Approved","Job Search",1455
2022-03-31,"Approved","LTBV/Investor",6
2022-03-31,"Approved","Other",1125
2022-03-31,"Approved","Relationship",1890
2022-03-31,"Approved","Section 61",84
2022-03-31,"Approved","Skilled Work",1713
2022-03-31,"Approved","Work -RSE",4128
2022-03-31,"Approved","Work to Residence",642
2022-03-31,"Approved","Working Holiday",21180
2022-03-31,"Declined","Humanitarian",18
2022-03-31,"Declined","Job Search",9
2022-03-31,"Declined","LTBV/Investor",3
2022-03-31,"Declined","Other",159
2022-03-31,"Declined","Relationship",123
2022-03-31,"Declined","Section 61",3
2022-03-31,"Declined","Skilled Work",114
2022-03-31,"Declined","Work -RSE",60
2022-03-31,"Declined","Work to Residence",96
2022-03-31,"Declined","Working Holiday",30
2022-04-30,"Approved","Approved In Principle",24
2022-04-30,"Approved","Humanitarian",294
2022-04-30,"Approved","IPT Order",0
2022-04-30,"Approved","Job Search",450
2022-04-30,"Approved","LTBV/Investor",6
2022-04-30,"Approved","Other",885
2022-04-30,"Approved","Relationship",1452
2022-04-30,"Approved","Section 61",81
2022-04-30,"Approved","Skilled Work",1347
2022-04-30,"Approved","Work -RSE",2157
2022-04-30,"Approved","Work to Residence",276
2022-04-30,"Approved","Working Holiday",2283
2022-04-30,"Declined","Approved In Principle",0
2022-04-30,"Declined","Humanitarian",18
2022-04-30,"Declined","Job Search",12
2022-04-30,"Declined","LTBV/Investor",9
2022-04-30,"Declined","Other",108
2022-04-30,"Declined","Relationship",87
2022-04-30,"Declined","Section 61",3
2022-04-30,"Declined","Skilled Work",72
2022-04-30,"Declined","Work -RSE",54
2022-04-30,"Declined","Work to Residence",39
2022-04-30,"Declined","Working Holiday",48
2022-05-31,"Approved","Approved In Principle",27
2022-05-31,"Approved","Crew",0
2022-05-31,"Approved","Humanitarian",300
2022-05-31,"Approved","IPT Order",6
2022-05-31,"Approved","Job Search",5724
2022-05-31,"Approved","LTBV/Investor",12
2022-05-31,"Approved","Other",1392
2022-05-31,"Approved","Relationship",5811
2022-05-31,"Approved","Section 61",87
2022-05-31,"Approved","Skilled Work",7137
2022-05-31,"Approved","Work -RSE",1503
2022-05-31,"Approved","Work to Residence",132
2022-05-31,"Approved","Working Holiday",2748
2022-05-31,"Declined","Approved In Principle",9
2022-05-31,"Declined","Crew",0
2022-05-31,"Declined","Humanitarian",30
2022-05-31,"Declined","Job Search",6
2022-05-31,"Declined","LTBV/Investor",3
2022-05-31,"Declined","Other",171
2022-05-31,"Declined","Relationship",102
2022-05-31,"Declined","Section 61",6
2022-05-31,"Declined","Skilled Work",102
2022-05-31,"Declined","Work -RSE",36
2022-05-31,"Declined","Work to Residence",36
2022-05-31,"Declined","Working Holiday",117
2022-06-30,"Approved","Approved In Principle",18
2022-06-30,"Approved","Crew",0
2022-06-30,"Approved","Humanitarian",156
2022-06-30,"Approved","IPT Order",12
2022-06-30,"Approved","Job Search",372
2022-06-30,"Approved","LTBV/Investor",9
2022-06-30,"Approved","Other",852
2022-06-30,"Approved","Relationship",1287
2022-06-30,"Approved","Section 61",48
2022-06-30,"Approved","Skilled Work",2259
2022-06-30,"Approved","Work -RSE",375
2022-06-30,"Approved","Work to Residence",60
2022-06-30,"Approved","Working Holiday",5571
2022-06-30,"Declined","Approved In Principle",6
2022-06-30,"Declined","Humanitarian",27
2022-06-30,"Declined","Job Search",6
2022-06-30,"Declined","LTBV/Investor",6
2022-06-30,"Declined","Other",231
2022-06-30,"Declined","Relationship",114
2022-06-30,"Declined","Section 61",0
2022-06-30,"Declined","Skilled Work",69
2022-06-30,"Declined","Work -RSE",57
2022-06-30,"Declined","Work to Residence",27
2022-06-30,"Declined","Working Holiday",111
2022-07-31,"Approved","Approved In Principle",18
2022-07-31,"Approved","Humanitarian",153
2022-07-31,"Approved","IPT Order",15
2022-07-31,"Approved","Job Search",594
2022-07-31,"Approved","LTBV/Investor",21
2022-07-31,"Approved","Other",1341
2022-07-31,"Approved","Relationship",1548
2022-07-31,"Approved","Section 61",60
2022-07-31,"Approved","Skilled Work",2286
2022-07-31,"Approved","Work -RSE",783
2022-07-31,"Approved","Work to Residence",63
2022-07-31,"Approved","Working Holiday",5718
2022-07-31,"Declined","Approved In Principle",9
2022-07-31,"Declined","Humanitarian",15
2022-07-31,"Declined","Job Search",15
2022-07-31,"Declined","Other",105
2022-07-31,"Declined","Relationship",156
2022-07-31,"Declined","Section 61",3
2022-07-31,"Declined","Skilled Work",72
2022-07-31,"Declined","Work -RSE",114
2022-07-31,"Declined","Work to Residence",63
2022-07-31,"Declined","Working Holiday",105
2022-08-31,"Approved","Approved In Principle",33
2022-08-31,"Approved","Crew",0
2022-08-31,"Approved","Humanitarian",126
2022-08-31,"Approved","IPT Order",6
2022-08-31,"Approved","Job Search",840
2022-08-31,"Approved","LTBV/Investor",12
