"Year Ended May","Decision Type","Nationality","Occupation Skill Level","Count"
"2021","Approved","Colombia","Skill level 1",60
"2021","Approved","Colombia","Skill level 2",39
"2021","Approved","Colombia","Skill level 3",45
"2021","Approved","Colombia","Skill level 4",30
"2021","Approved","Colombia","Skill level 5",75
"2021","Approved","Congo","(not recorded)",0
"2021","Approved","Costa Rica","(not recorded)",6
"2021","Approved","Costa Rica","Skill level 1",0
"2021","Approved","Costa Rica","Skill level 2",0
"2021","Approved","Croatia","(not recorded)",66
"2021","Approved","Croatia","Skill level 1",12
"2021","Approved","Croatia","Skill level 2",3
"2021","Approved","Croatia","Skill level 3",3
"2021","Approved","Croatia","Skill level 4",3
"2021","Approved","Croatia","Skill level 5",0
"2021","Approved","Cuba","(not recorded)",9
"2021","Approved","Cuba","Skill level 4",0
"2021","Approved","Cyprus","(not recorded)",0
"2021","Approved","Czech Republic","(not recorded)",642
"2021","Approved","Czech Republic","Skill level 1",30
"2021","Approved","Czech Republic","Skill level 2",36
"2021","Approved","Czech Republic","Skill level 3",63
"2021","Approved","Czech Republic","Skill level 4",51
"2021","Approved","Czech Republic","Skill level 5",42
"2021","Approved","Democratic Republic of Congo","(not recorded)",3
"2021","Approved","Denmark","(not recorded)",78
"2021","Approved","Denmark","Skill level 1",15
"2021","Approved","Denmark","Skill level 2",3
"2021","Approved","Denmark","Skill level 3",9
"2021","Approved","Denmark","Skill level 4",6
"2021","Approved","Denmark","Skill level 5",3
"2021","Approved","Dominican Republic","(not recorded)",3
"2021","Approved","Ecuador","(not recorded)",21
"2021","Approved","Ecuador","Skill level 1",3
"2021","Approved","Ecuador","Skill level 3",0
"2021","Approved","Ecuador","Skill level 4",3
"2021","Approved","Ecuador","Skill level 5",6
"2021","Approved","Egypt","(not recorded)",54
"2021","Approved","Egypt","Skill level 1",30
"2021","Approved","Egypt","Skill level 2",3
"2021","Approved","Egypt","Skill level 3",0
"2021","Approved","Egypt","Skill level 4",0
"2021","Approved","El Salvador","(not recorded)",3
"2021","Approved","El Salvador","Skill level 1",0
"2021","Approved","Eritrea","(not recorded)",3
"2021","Approved","Estonia","(not recorded)",63
"2021","Approved","Estonia","Skill level 1",3
"2021","Approved","Estonia","Skill level 2",3
"2021","Approved","Estonia","Skill level 3",6
"2021","Approved","Estonia","Skill level 4",6
"2021","Approved","Estonia","Skill level 5",6
"2021","Approved","Ethiopia","(not recorded)",39
"2021","Approved","Ethiopia","Skill level 1",3
"2021","Approved","Ethiopia","Skill level 4",0
"2021","Approved","Ethiopia","Skill level 5",3
"2021","Approved","Fiji","(not recorded)",2082
"2021","Approved","Fiji","Skill level 1",114
"2021","Approved","Fiji","Skill level 2",201
"2021","Approved","Fiji","Skill level 3",612
"2021","Approved","Fiji","Skill level 4",651
"2021","Approved","Fiji","Skill level 5",255
"2021","Approved","Finland","(not recorded)",87
"2021","Approved","Finland","Skill level 1",12
"2021","Approved","Finland","Skill level 2",9
"2021","Approved","Finland","Skill level 3",9
"2021","Approved","Finland","Skill level 4",3
"2021","Approved","Finland","Skill level 5",3
"2021","Approved","France","(not recorded)",1944
"2021","Approved","France","Skill level 1",216
"2021","Approved","France","Skill level 2",159
"2021","Approved","France","Skill level 3",144
"2021","Approved","France","Skill level 4",123
"2021","Approved","France","Skill level 5",75
"2021","Approved","Germany","(not recorded)",1275
"2021","Approved","Germany","Skill level 1",150
"2021","Approved","Germany","Skill level 2",60
"2021","Approved","Germany","Skill level 3",93
"2021","Approved","Germany","Skill level 4",75
"2021","Approved","Germany","Skill level 5",57
"2021","Approved","Ghana","(not recorded)",27
"2021","Approved","Ghana","Skill level 1",3
"2021","Approved","Ghana","Skill level 2",0
"2021","Approved","Ghana","Skill level 3",3
"2021","Approved","Ghana","Skill level 4",3
"2021","Approved","Greece","(not recorded)",21
"2021","Approved","Greece","Skill level 1",3
"2021","Approved","Greece","Skill level 3",0
"2021","Approved","Greece","Skill level 5",3
"2021","Approved","Grenada","(not recorded)",3
"2021","Approved","Guatemala","(not recorded)",3
"2021","Approved","Guatemala","Skill level 1",0
"2021","Approved","Guatemala","Skill level 2",0
"2021","Approved","Guinea","(not recorded)",3
"2021","Approved","Honduras","(not recorded)",3
"2021","Approved","Honduras","Skill level 3",0
"2021","Approved","Hong Kong","(not recorded)",453
"2021","Approved","Hong Kong","Skill level 1",54
"2021","Approved","Hong Kong","Skill level 2",30
"2021","Approved","Hong Kong","Skill level 3",9
"2021","Approved","Hong Kong","Skill level 4",9
"2021","Approved","Hong Kong","Skill level 5",6
"2021","Approved","Hungary","(not recorded)",84
"2021","Approved","Hungary","Skill level 1",9
"2021","Approved","Hungary","Skill level 2",3
"2021","Approved","Hungary","Skill level 3",12
"2021","Approved","Hungary","Skill level 4",3
"2021","Approved","Hungary","Skill level 5",3
"2021","Approved","Iceland","(not recorded)",6
"2021","Approved","Iceland","Skill level 2",0
"2021","Approved","India","(not recorded)",16701
"2021","Approved","India","Skill level 1",2373
"2021","Approved","India","Skill level 2",4704
"2021","Approved","India","Skill level 3",2616
"2021","Approved","India","Skill level 4",3480
"2021","Approved","India","Skill level 5",780
"2021","Approved","Indonesia","(not recorded)",915
"2021","Approved","Indonesia","Skill level 1",42
"2021","Approved","Indonesia","Skill level 2",90
"2021","Approved","Indonesia","Skill level 3",21
"2021","Approved","Indonesia","Skill level 4",186
"2021","Approved","Indonesia","Skill level 5",267
"2021","Approved","Iran","(not recorded)",255
"2021","Approved","Iran","Skill level 1",33
"2021","Approved","Iran","Skill level 2",9
"2021","Approved","Iran","Skill level 3",3
"2021","Approved","Iraq","(not recorded)",33
"2021","Approved","Iraq","Skill level 2",0
"2021","Approved","Iraq","Skill level 3",3
"2021","Approved","Iraq","Skill level 4",3
"2021","Approved","Ireland","(not recorded)",510
"2021","Approved","Ireland","Skill level 1",465
"2021","Approved","Ireland","Skill level 2",108
"2021","Approved","Ireland","Skill level 3",126
"2021","Approved","Ireland","Skill level 4",135
"2021","Approved","Ireland","Skill level 5",57
"2021","Approved","Israel","(not recorded)",99
"2021","Approved","Israel","Skill level 1",18
"2021","Approved","Israel","Skill level 2",0
"2021","Approved","Israel","Skill level 3",3
"2021","Approved","Israel","Skill level 4",3
"2021","Approved","Israel","Skill level 5",6
"2021","Approved","Italy","(not recorded)",1440
"2021","Approved","Italy","Skill level 1",87
"2021","Approved","Italy","Skill level 2",159
"2021","Approved","Italy","Skill level 3",102
"2021","Approved","Italy","Skill level 4",63
"2021","Approved","Italy","Skill level 5",111
"2021","Approved","Ivory Coast","(not recorded)",0
"2021","Approved","Jamaica","(not recorded)",3
"2021","Approved","Jamaica","Skill level 3",3
"2021","Approved","Japan","(not recorded)",966
"2021","Approved","Japan","Skill level 1",96
"2021","Approved","Japan","Skill level 2",189
"2021","Approved","Japan","Skill level 3",87
"2021","Approved","Japan","Skill level 4",69
"2021","Approved","Japan","Skill level 5",42
"2021","Approved","Jordan","(not recorded)",54
"2021","Approved","Jordan","Skill level 1",3
"2021","Approved","Jordan","Skill level 2",33
"2021","Approved","Jordan","Skill level 3",33
"2021","Approved","Jordan","Skill level 4",0
"2021","Approved","Kazakhstan","(not recorded)",54
"2021","Approved","Kazakhstan","Skill level 1",12
"2021","Approved","Kazakhstan","Skill level 2",6
"2021","Approved","Kazakhstan","Skill level 3",6
"2021","Approved","Kazakhstan","Skill level 4",6
"2021","Approved","Kazakhstan","Skill level 5",0
"2021","Approved","Kenya","(not recorded)",45
"2021","Approved","Kenya","Skill level 1",15
"2021","Approved","Kenya","Skill level 2",9
"2021","Approved","Kenya","Skill level 3",3
"2021","Approved","Kenya","Skill level 4",3
"2021","Approved","Kenya","Skill level 5",3
"2021","Approved","Kiribati","(not recorded)",513
"2021","Approved","Kiribati","Skill level 1",0
"2021","Approved","Kiribati","Skill level 4",27
"2021","Approved","Kiribati","Skill level 5",201
"2021","Approved","Kosovo - Republic of","(not recorded)",6
"2021","Approved","Kuwait","(not recorded)",0
"2021","Approved","Kyrgyzstan","(not recorded)",0
"2021","Approved","Kyrgyzstan","Skill level 1",0
"2021","Approved","Laos","(not recorded)",12
"2021","Approved","Laos","Skill level 1",0
"2021","Approved","Laos","Skill level 2",0
"2021","Approved","Laos","Skill level 3",0
"2021","Approved","Laos","Skill level 4",3
"2021","Approved","Latvia","(not recorded)",96
"2021","Approved","Latvia","Skill level 1",3
"2021","Approved","Latvia","Skill level 2",3
"2021","Approved","Latvia","Skill level 3",3
"2021","Approved","Latvia","Skill level 4",3
"2021","Approved","Latvia","Skill level 5",3
"2021","Approved","Lebanon","(not recorded)",18
"2021","Approved","Lebanon","Skill level 1",3
"2021","Approved","Lebanon","Skill level 3",0
"2021","Approved","Lebanon","Skill level 4",3
"2021","Approved","Libya","(not recorded)",6
"2021","Approved","Libya","Skill level 1",3
"2021","Approved","Lithuania","(not recorded)",69
"2021","Approved","Lithuania","Skill level 1",6
"2021","Approved","Lithuania","Skill level 2",3
"2021","Approved","Lithuania","Skill level 3",3
"2021","Approved","Lithuania","Skill level 4",3
"2021","Approved","Lithuania","Skill level 5",0
"2021","Approved","Luxembourg","(not recorded)",6
"2021","Approved","Macau","(not recorded)",15
"2021","Approved","Macau","Skill level 1",3
"2021","Approved","Macau","Skill level 2",3
"2021","Approved","Macedonia","(not recorded)",15
"2021","Approved","Macedonia","Skill level 1",3
"2021","Approved","Macedonia","Skill level 2",9
"2021","Approved","Macedonia","Skill level 3",9
"2021","Approved","Malawi","(not recorded)",6
"2021","Approved","Malawi","Skill level 1",3
"2021","Approved","Malaysia","(not recorded)",1521
"2021","Approved","Malaysia","Skill level 1",147
"2021","Approved","Malaysia","Skill level 2",105
"2021","Approved","Malaysia","Skill level 3",165
"2021","Approved","Malaysia","Skill level 4",60
"2021","Approved","Malaysia","Skill level 5",87
"2021","Approved","Maldives","(not recorded)",12
"2021","Approved","Maldives","Skill level 1",3
"2021","Approved","Malta","(not recorded)",6
"2021","Approved","Malta","Skill level 1",3
"2021","Approved","Malta","Skill level 2",3
"2021","Approved","Malta","Skill level 4",0
"2021","Approved","Mauritius","(not recorded)",27
"2021","Approved","Mauritius","Skill level 1",0
"2021","Approved","Mauritius","Skill level 2",0
"2021","Approved","Mauritius","Skill level 3",15
"2021","Approved","Mauritius","Skill level 4",3
"2021","Approved","Mexico","(not recorded)",264
"2021","Approved","Mexico","Skill level 1",42
"2021","Approved","Mexico","Skill level 2",48
"2021","Approved","Mexico","Skill level 3",27
"2021","Approved","Mexico","Skill level 4",12
"2021","Approved","Mexico","Skill level 5",15
"2021","Approved","Moldova","(not recorded)",3
"2021","Approved","Moldova","Skill level 1",3
"2021","Approved","Moldova","Skill level 3",3
"2021","Approved","Mongolia","(not recorded)",15
"2021","Approved","Mongolia","Skill level 5",0
"2021","Approved","Montenegro","Skill level 5",0
"2021","Approved","Morocco","(not recorded)",18
"2021","Approved","Morocco","Skill level 1",3
"2021","Approved","Morocco","Skill level 4",3
"2021","Approved","Myanmar","(not recorded)",48
"2021","Approved","Myanmar","Skill level 1",6
"2021","Approved","Myanmar","Skill level 2",18
"2021","Approved","Myanmar","Skill level 3",3
"2021","Approved","Myanmar","Skill level 4",3
"2021","Approved","Namibia","(not recorded)",6
"2021","Approved","Namibia","Skill level 1",3
"2021","Approved","Namibia","Skill level 2",0
"2021","Approved","Namibia","Skill level 3",6
"2021","Approved","Namibia","Skill level 5",3
"2021","Approved","Nauru","(not recorded)",15
"2021","Approved","Nauru","Skill level 5",3
"2021","Approved","Nepal","(not recorded)",1065
"2021","Approved","Nepal","Skill level 1",114
"2021","Approved","Nepal","Skill level 2",213
"2021","Approved","Nepal","Skill level 3",72
"2021","Approved","Nepal","Skill level 4",162
"2021","Approved","Nepal","Skill level 5",195
"2021","Approved","Netherlands","(not recorded)",375
"2021","Approved","Netherlands","Skill level 1",90
"2021","Approved","Netherlands","Skill level 2",30
"2021","Approved","Netherlands","Skill level 3",30
"2021","Approved","Netherlands","Skill level 4",27
"2021","Approved","Netherlands","Skill level 5",21
"2021","Approved","Nicaragua","(not recorded)",0
"2021","Approved","Nicaragua","Skill level 1",3
"2021","Approved","Niger","(not recorded)",3
"2021","Approved","Nigeria","(not recorded)",93
"2021","Approved","Nigeria","Skill level 1",15
"2021","Approved","Nigeria","Skill level 2",3
"2021","Approved","Nigeria","Skill level 4",9
"2021","Approved","Norway","(not recorded)",39
"2021","Approved","Norway","Skill level 1",0
"2021","Approved","Norway","Skill level 3",0
"2021","Approved","Oman","(not recorded)",9
"2021","Approved","Oman","Skill level 1",3
"2021","Approved","Pakistan","(not recorded)",246
"2021","Approved","Pakistan","Skill level 1",54
"2021","Approved","Pakistan","Skill level 2",21
"2021","Approved","Pakistan","Skill level 3",12
"2021","Approved","Pakistan","Skill level 4",9
"2021","Approved","Pakistan","Skill level 5",3
"2021","Approved","Palestine","(not recorded)",9
"2021","Approved","Panama","(not recorded)",6
"2021","Approved","Papua New Guinea","(not recorded)",150
"2021","Approved","Papua New Guinea","Skill level 1",3
"2021","Approved","Papua New Guinea","Skill level 4",3
"2021","Approved","Papua New Guinea","Skill level 5",39
"2021","Approved","Paraguay","(not recorded)",3
"2021","Approved","Peru","(not recorded)",159
"2021","Approved","Peru","Skill level 1",15
"2021","Approved","Peru","Skill level 2",12
"2021","Approved","Peru","Skill level 3",6
"2021","Approved","Peru","Skill level 4",9
"2021","Approved","Peru","Skill level 5",27
"2021","Approved","Philippines","(not recorded)",4227
"2021","Approved","Philippines","Skill level 1",2301
"2021","Approved","Philippines","Skill level 2",528
"2021","Approved","Philippines","Skill level 3",4884
"2021","Approved","Philippines","Skill level 4",2943
"2021","Approved","Philippines","Skill level 5",2184
"2021","Approved","Poland","(not recorded)",159
"2021","Approved","Poland","Skill level 1",30
"2021","Approved","Poland","Skill level 2",6
"2021","Approved","Poland","Skill level 3",12
"2021","Approved","Poland","Skill level 4",3
"2021","Approved","Poland","Skill level 5",3
"2021","Approved","Portugal","(not recorded)",66
"2021","Approved","Portugal","Skill level 1",21
"2021","Approved","Portugal","Skill level 2",6
"2021","Approved","Portugal","Skill level 3",3
"2021","Approved","Portugal","Skill level 4",3
"2021","Approved","Portugal","Skill level 5",0
"2021","Approved","Qatar","(not recorded)",3
"2021","Approved","Romania","(not recorded)",36
"2021","Approved","Romania","Skill level 1",12
"2021","Approved","Romania","Skill level 2",3
"2021","Approved","Romania","Skill level 3",6
"2021","Approved","Romania","Skill level 4",0
"2021","Approved","Romania","Skill level 5",0
"2021","Approved","Russia","(not recorded)",741
"2021","Approved","Russia","Skill level 1",222
"2021","Approved","Russia","Skill level 2",123
"2021","Approved","Russia","Skill level 3",63
"2021","Approved","Russia","Skill level 4",195
"2021","Approved","Russia","Skill level 5",18
"2021","Approved","Rwanda","(not recorded)",3
"2021","Approved","Samoa","(not recorded)",4782
"2021","Approved","Samoa","Skill level 1",3
"2021","Approved","Samoa","Skill level 2",3
"2021","Approved","Samoa","Skill level 3",39
"2021","Approved","Samoa","Skill level 4",12
"2021","Approved","Samoa","Skill level 5",1113
"2021","Approved","Saudi Arabia","(not recorded)",60
"2021","Approved","Saudi Arabia","Skill level 1",6
"2021","Approved","Saudi Arabia","Skill level 5",3
"2021","Approved","Serbia","(not recorded)",36
"2021","Approved","Serbia","Skill level 1",12
"2021","Approved","Serbia","Skill level 2",12
"2021","Approved","Serbia","Skill level 3",21
"2021","Approved","Serbia","Skill level 4",6
"2021","Approved","Seychelles","(not recorded)",3
"2021","Approved","Seychelles","Skill level 2",0
"2021","Approved","Singapore","(not recorded)",198
"2021","Approved","Singapore","Skill level 1",36
"2021","Approved","Singapore","Skill level 2",3
"2021","Approved","Singapore","Skill level 3",6
"2021","Approved","Singapore","Skill level 4",9
"2021","Approved","Singapore","Skill level 5",3
"2021","Approved","Slovakia","(not recorded)",60
"2021","Approved","Slovakia","Skill level 1",9
"2021","Approved","Slovakia","Skill level 2",6
"2021","Approved","Slovakia","Skill level 3",6
"2021","Approved","Slovakia","Skill level 4",6
"2021","Approved","Slovakia","Skill level 5",3
"2021","Approved","Slovenia","(not recorded)",75
"2021","Approved","Slovenia","Skill level 1",6
"2021","Approved","Slovenia","Skill level 2",0
"2021","Approved","Slovenia","Skill level 3",3
"2021","Approved","Slovenia","Skill level 4",3
"2021","Approved","Slovenia","Skill level 5",3
"2021","Approved","Solomon Islands","(not recorded)",660
"2021","Approved","Solomon Islands","Skill level 1",0
"2021","Approved","Solomon Islands","Skill level 4",6
"2021","Approved","Solomon Islands","Skill level 5",345
"2021","Approved","Somalia","(not recorded)",9
"2021","Approved","South Africa","(not recorded)",1683
"2021","Approved","South Africa","Skill level 1",1137
"2021","Approved","South Africa","Skill level 2",336
"2021","Approved","South Africa","Skill level 3",1140
"2021","Approved","South Africa","Skill level 4",201
"2021","Approved","South Africa","Skill level 5",108
"2021","Approved","South Korea","(not recorded)",1260
"2021","Approved","South Korea","Skill level 1",165
"2021","Approved","South Korea","Skill level 2",465
"2021","Approved","South Korea","Skill level 3",171
"2021","Approved","South Korea","Skill level 4",117
"2021","Approved","South Korea","Skill level 5",36
"2021","Approved","Spain","(not recorded)",333
"2021","Approved","Spain","Skill level 1",45
"2021","Approved","Spain","Skill level 2",12
"2021","Approved","Spain","Skill level 3",15
"2021","Approved","Spain","Skill level 4",21
"2021","Approved","Spain","Skill level 5",21
"2021","Approved","Sri Lanka","(not recorded)",1278
"2021","Approved","Sri Lanka","Skill level 1",228
"2021","Approved","Sri Lanka","Skill level 2",219
"2021","Approved","Sri Lanka","Skill level 3",471
"2021","Approved","Sri Lanka","Skill level 4",105
"2021","Approved","Sri Lanka","Skill level 5",75
"2021","Approved","St Kitts - Nevis","(not recorded)",3
"2021","Approved","St Lucia","(not recorded)",3
"2021","Approved","Stateless","(not recorded)",0
"2021","Approved","Sudan","(not recorded)",9
"2021","Approved","Sweden","(not recorded)",168
"2021","Approved","Sweden","Skill level 1",18
"2021","Approved","Sweden","Skill level 2",3
"2021","Approved","Sweden","Skill level 3",6
"2021","Approved","Sweden","Skill level 4",18
"2021","Approved","Sweden","Skill level 5",6
"2021","Approved","Switzerland","(not recorded)",78
"2021","Approved","Switzerland","Skill level 1",18
"2021","Approved","Switzerland","Skill level 2",6
"2021","Approved","Switzerland","Skill level 3",9
"2021","Approved","Switzerland","Skill level 4",6
"2021","Approved","Switzerland","Skill level 5",6
"2021","Approved","Syria","(not recorded)",12
"2021","Approved","Syria","Skill level 1",3
"2021","Approved","Syria","Skill level 2",3
"2021","Approved","Syria","Skill level 3",0
"2021","Approved","Taiwan","(not recorded)",597
"2021","Approved","Taiwan","Skill level 1",27
"2021","Approved","Taiwan","Skill level 2",27
"2021","Approved","Taiwan","Skill level 3",21
"2021","Approved","Taiwan","Skill level 4",9
"2021","Approved","Taiwan","Skill level 5",24
"2021","Approved","Tanzania","(not recorded)",6
"2021","Approved","Tanzania","Skill level 1",3
"2021","Approved","Thailand","(not recorded)",1314
"2021","Approved","Thailand","Skill level 1",18
"2021","Approved","Thailand","Skill level 2",393
"2021","Approved","Thailand","Skill level 3",48
"2021","Approved","Thailand","Skill level 4",36
"2021","Approved","Thailand","Skill level 5",180
"2021","Approved","Timor Leste","(not recorded)",3
"2021","Approved","Togo","(not recorded)",0
"2021","Approved","Tonga","(not recorded)",3417
"2021","Approved","Tonga","Skill level 1",30
"2021","Approved","Tonga","Skill level 2",12
"2021","Approved","Tonga","Skill level 3",72
"2021","Approved","Tonga","Skill level 4",51
"2021","Approved","Tonga","Skill level 5",1221
"2021","Approved","Trinidad and Tobago","(not recorded)",6
"2021","Approved","Trinidad and Tobago","Skill level 1",3
"2021","Approved","Trinidad and Tobago","Skill level 3",3
"2021","Approved","Tunisia","(not recorded)",3
"2021","Approved","Tunisia","Skill level 1",0
"2021","Approved","Turkey","(not recorded)",102
"2021","Approved","Turkey","Skill level 1",15
"2021","Approved","Turkey","Skill level 2",6
"2021","Approved","Turkey","Skill level 3",9
"2021","Approved","Turkey","Skill level 4",9
"2021","Approved","Turkey","Skill level 5",3
"2021","Approved","Turkmenistan","(not recorded)",0
"2021","Approved","Tuvalu","(not recorded)",276
"2021","Approved","Tuvalu","Skill level 1",0
"2021","Approved","Tuvalu","Skill level 3",0
"2021","Approved","Tuvalu","Skill level 4",6
"2021","Approved","Tuvalu","Skill level 5",9
"2021","Approved","Uganda","(not recorded)",6
"2021","Approved","Uganda","Skill level 1",3
"2021","Approved","Ukraine","(not recorded)",156
"2021","Approved","Ukraine","Skill level 1",66
"2021","Approved","Ukraine","Skill level 2",12
"2021","Approved","Ukraine","Skill level 3",9
"2021","Approved","Ukraine","Skill level 4",45
"2021","Approved","Ukraine","Skill level 5",15
"2021","Approved","United Arab Emirates","Skill level 1",3
"2021","Approved","United Kingdom","(not recorded)",7008
"2021","Approved","United Kingdom","Skill level 1",1740
"2021","Approved","United Kingdom","Skill level 2",657
"2021","Approved","United Kingdom","Skill level 3",924
"2021","Approved","United Kingdom","Skill level 4",621
"2021","Approved","United Kingdom","Skill level 5",318
"2021","Approved","United Nations","(not recorded)",0
"2021","Approved","United States of America","(not recorded)",2436
"2021","Approved","United States of America","Skill level 1",684
"2021","Approved","United States of America","Skill level 2",108
"2021","Approved","United States of America","Skill level 3",90
"2021","Approved","United States of America","Skill level 4",90
"2021","Approved","United States of America","Skill level 5",36
"2021","Approved","Unknown","(not recorded)",0
"2021","Approved","Unknown","Skill level 1",0
"2021","Approved","Unknown","Skill level 2",0
"2021","Approved","Uruguay","(not recorded)",240
"2021","Approved","Uruguay","Skill level 1",42
"2021","Approved","Uruguay","Skill level 2",15
"2021","Approved","Uruguay","Skill level 3",39
"2021","Approved","Uruguay","Skill level 4",18
"2021","Approved","Uruguay","Skill level 5",117
"2021","Approved","Uzbekistan","(not recorded)",9
"2021","Approved","Uzbekistan","Skill level 1",0
"2021","Approved","Uzbekistan","Skill level 3",3
"2021","Approved","Vanuatu","(not recorded)",5883
"2021","Approved","Vanuatu","Skill level 1",3
"2021","Approved","Vanuatu","Skill level 2",0
"2021","Approved","Vanuatu","Skill level 3",3
"2021","Approved","Vanuatu","Skill level 5",1503
"2021","Approved","Venezuela","(not recorded)",12
"2021","Approved","Venezuela","Skill level 1",3
"2021","Approved","Venezuela","Skill level 2",0
"2021","Approved","Venezuela","Skill level 3",0
"2021","Approved","Venezuela","Skill level 4",0
"2021","Approved","Vietnam","(not recorded)",912
"2021","Approved","Vietnam","Skill level 1",75
"2021","Approved","Vietnam","Skill level 2",126
"2021","Approved","Vietnam","Skill level 3",42
"2021","Approved","Vietnam","Skill level 4",78
"2021","Approved","Vietnam","Skill level 5",15
"2021","Approved","Yemen","(not recorded)",3
"2021","Approved","Yemen","Skill level 1",3
"2021","Approved","Zambia","(not recorded)",6
"2021","Approved","Zambia","Skill level 1",6
"2021","Approved","Zambia","Skill level 3",3
"2021","Approved","Zambia","Skill level 4",3
"2021","Approved","Zimbabwe","(not recorded)",57
"2021","Approved","Zimbabwe","Skill level 1",12
"2021","Approved","Zimbabwe","Skill level 2",3
"2021","Approved","Zimbabwe","Skill level 3",42
"2021","Approved","Zimbabwe","Skill level 4",3
"2021","Approved","Zimbabwe","Skill level 5",3
"2021","Declined","Afghanistan","(not recorded)",9
"2021","Declined","Albania","(not recorded)",0
"2021","Declined","Algeria","(not recorded)",0
"2021","Declined","Argentina","(not recorded)",45
"2021","Declined","Argentina","Skill level 1",3
"2021","Declined","Argentina","Skill level 2",15
"2021","Declined","Argentina","Skill level 3",18
"2021","Declined","Argentina","Skill level 4",15
"2021","Declined","Argentina","Skill level 5",21
"2021","Declined","Armenia","(not recorded)",0
"2021","Declined","Australia","(not recorded)",0
"2021","Declined","Austria","(not recorded)",3
"2021","Declined","Austria","Skill level 3",0
"2021","Declined","Austria","Skill level 5",3
"2021","Declined","Bahrain","(not recorded)",3
"2021","Declined","Bangladesh","(not recorded)",18
"2021","Declined","Bangladesh","Skill level 1",0
"2021","Declined","Bangladesh","Skill level 2",12
"2021","Declined","Bangladesh","Skill level 3",12
"2021","Declined","Bangladesh","Skill level 4",9
"2021","Declined","Bangladesh","Skill level 5",0
"2021","Declined","Barbados","Skill level 1",3
"2021","Declined","Belgium","(not recorded)",9
"2021","Declined","Belgium","Skill level 1",3
"2021","Declined","Belgium","Skill level 3",3
"2021","Declined","Belgium","Skill level 4",3
"2021","Declined","Bolivia","(not recorded)",0
"2021","Declined","Bolivia","Skill level 3",0
"2021","Declined","Bolivia","Skill level 5",0
"2021","Declined","Brazil","(not recorded)",51
"2021","Declined","Brazil","Skill level 1",15
"2021","Declined","Brazil","Skill level 2",15
"2021","Declined","Brazil","Skill level 3",39
"2021","Declined","Brazil","Skill level 4",21
"2021","Declined","Brazil","Skill level 5",21
"2021","Declined","Brunei Darussalam","(not recorded)",3
"2021","Declined","Bulgaria","(not recorded)",3
"2021","Declined","Bulgaria","Skill level 3",0
"2021","Declined","Bulgaria","Skill level 4",0
"2021","Declined","Burundi","Skill level 5",0
"2021","Declined","Cambodia","(not recorded)",9
"2021","Declined","Cambodia","Skill level 2",3
"2021","Declined","Cambodia","Skill level 3",0
"2021","Declined","Cambodia","Skill level 4",3
"2021","Declined","Canada","(not recorded)",54
"2021","Declined","Canada","Skill level 1",12
"2021","Declined","Canada","Skill level 2",6
"2021","Declined","Canada","Skill level 3",12
"2021","Declined","Canada","Skill level 4",3
"2021","Declined","Chile","(not recorded)",33
"2021","Declined","Chile","Skill level 1",3
"2021","Declined","Chile","Skill level 2",18
"2021","Declined","Chile","Skill level 3",27
"2021","Declined","Chile","Skill level 4",6
"2021","Declined","Chile","Skill level 5",21
"2021","Declined","China","(not recorded)",321
"2021","Declined","China","Skill level 1",57
"2021","Declined","China","Skill level 2",171
"2021","Declined","China","Skill level 3",84
"2021","Declined","China","Skill level 4",36
"2021","Declined","China","Skill level 5",12
"2021","Declined","Colombia","(not recorded)",18
"2021","Declined","Colombia","Skill level 1",6
"2021","Declined","Colombia","Skill level 2",6
"2021","Declined","Colombia","Skill level 3",3
"2021","Declined","Colombia","Skill level 4",3
"2021","Declined","Colombia","Skill level 5",6
"2021","Declined","Costa Rica","Skill level 2",0
"2021","Declined","Croatia","(not recorded)",3
"2021","Declined","Croatia","Skill level 2",3
"2021","Declined","Croatia","Skill level 3",3
"2021","Declined","Cuba","(not recorded)",3
"2021","Declined","Cyprus","(not recorded)",0
"2021","Declined","Czech Republic","(not recorded)",24
"2021","Declined","Czech Republic","Skill level 1",3
"2021","Declined","Czech Republic","Skill level 2",3
"2021","Declined","Czech Republic","Skill level 3",6
"2021","Declined","Czech Republic","Skill level 4",3
"2021","Declined","Czech Republic","Skill level 5",3
"2021","Declined","Denmark","(not recorded)",0
"2021","Declined","Denmark","Skill level 3",0
"2021","Declined","Denmark","Skill level 4",0
"2021","Declined","Ecuador","Skill level 1",0
"2021","Declined","Ecuador","Skill level 2",0
"2021","Declined","Egypt","(not recorded)",6
"2021","Declined","Egypt","Skill level 1",12
"2021","Declined","Eritrea","(not recorded)",0
"2021","Declined","Estonia","(not recorded)",3
"2021","Declined","Estonia","Skill level 3",0
"2021","Declined","Ethiopia","(not recorded)",3
"2021","Declined","Fiji","(not recorded)",162
"2021","Declined","Fiji","Skill level 1",6
"2021","Declined","Fiji","Skill level 2",6
"2021","Declined","Fiji","Skill level 3",60
"2021","Declined","Fiji","Skill level 4",87
"2021","Declined","Fiji","Skill level 5",93
"2021","Declined","Finland","(not recorded)",12
"2021","Declined","Finland","Skill level 2",3
"2021","Declined","Finland","Skill level 3",3
"2021","Declined","Finland","Skill level 4",3
"2021","Declined","France","(not recorded)",69
"2021","Declined","France","Skill level 1",9
"2021","Declined","France","Skill level 2",15
"2021","Declined","France","Skill level 3",15
"2021","Declined","France","Skill level 4",12
